mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval,_src
pooled_cv,AAL,v1,1,0.6962772785622593,0.6214689265536724,0.6265083440308087,0.6127167630057804,0.6794871794871795,0.5578947368421052,0.6951219512195121,0.2822446823120117,500.6211154460907,3.1900136484264654,45.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v1,2,0.721181001283697,0.6610169491525424,0.6558408215661105,0.6969696969696969,0.6699029126213593,0.7263157894736842,0.5853658536585366,0.492882639169693,240.8698172569275,3.3725533781752075,22.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v1,3,0.6766367137355584,0.6384180790960452,0.6439666238767651,0.627906976744186,0.7012987012987013,0.5684210526315789,0.7195121951219512,0.7240816950798035,334.44473958015436,2.962635061835165,30.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v1,4,0.6597222222222222,0.6214689265536724,0.6221064814814815,0.6378378378378379,0.6629213483146067,0.6145833333333334,0.6296296296296297,0.7839447855949402,378.92994570732117,2.969083139451884,34.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v1,5,0.7287849252761534,0.6647727272727273,0.6603638726445744,0.6974358974358974,0.68,0.7157894736842105,0.6049382716049383,0.5971799492835999,268.73849749565125,2.972077239643444,24.0,32258.0,176.0,run_20260620_073443
loso,AAL,v1,CMU,0.6666666666666667,0.6,0.5833333333333333,0.5,0.5,0.5,0.6666666666666666,0.5671466588973999,250.51566195487976,1.906442642211914,21.0,32258.0,5.0,run_20260620_073443
loso,AAL,v1,Caltech,0.6783625730994152,0.7027027027027027,0.7002923976608187,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.7894736842105263,0.6433863639831543,526.4834995269774,3.1455723015037744,44.0,32258.0,37.0,run_20260620_073443
loso,AAL,v1,KKI,0.7438271604938271,0.6666666666666666,0.7361111111111112,0.6976744186046512,0.9375,0.5555555555555556,0.9166666666666666,0.3460441827774048,322.4607591629028,2.7372959332588387,27.0,32258.0,39.0,run_20260620_073443
loso,AAL,v1,Leuven,0.6568627450980393,0.639344262295082,0.619281045751634,0.7105263157894737,0.6428571428571429,0.7941176470588235,0.4444444444444444,0.4838011562824249,296.86789631843567,3.69680904951252,25.0,32258.0,61.0,run_20260620_073443
loso,AAL,v1,MaxMun,0.6319444444444445,0.5952380952380952,0.5694444444444444,0.679245283018868,0.6206896551724138,0.75,0.3888888888888889,0.4818440675735474,339.1466319561005,3.170013427734375,29.0,32258.0,42.0,run_20260620_073443
loso,AAL,v1,NYU,0.7219737209952474,0.631578947368421,0.6453732177802627,0.631578947368421,0.7397260273972602,0.5510204081632653,0.7397260273972602,0.4263945817947388,256.432855129242,3.1887787824485736,23.0,32258.0,171.0,run_20260620_073443
loso,AAL,v1,OHSU,0.5303030303030303,0.4782608695652174,0.4659090909090909,0.2500000000000001,0.4,0.18181818181818185,0.75,0.4357376992702484,494.5895183086395,2.720127934994905,41.0,32258.0,23.0,run_20260620_073443
loso,AAL,v1,Olin,0.8311688311688312,0.72,0.7207792207792207,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7142857142857143,0.5518128871917725,277.71562075614935,3.4079456329345703,23.0,32258.0,25.0,run_20260620_073443
loso,AAL,v1,Pitt,0.766798418972332,0.6666666666666666,0.6620553359683794,0.7272727272727273,0.625,0.8695652173913043,0.4545454545454545,0.4579277634620666,257.11471509933466,3.0312803056504998,22.0,32258.0,45.0,run_20260620_073443
loso,AAL,v1,SBL,0.7619047619047619,0.6538461538461539,0.6607142857142857,0.6666666666666665,0.6,0.75,0.5714285714285714,0.5465103983879089,252.41465520858762,2.9039382934570312,21.0,32258.0,26.0,run_20260620_073443
loso,AAL,v1,SDSU,0.7619047619047621,0.7272727272727273,0.7142857142857142,0.7804878048780488,0.8,0.7619047619047619,0.6666666666666666,0.8070709109306335,495.1705846786499,2.816005186601118,42.0,32258.0,33.0,run_20260620_073443
loso,AAL,v1,Stanford,0.7151702786377709,0.5,0.5170278637770898,0.3076923076923077,0.5714285714285714,0.21052631578947367,0.8235294117647058,0.4432587623596192,347.85198020935064,3.3805370330810547,29.0,32258.0,36.0,run_20260620_073443
loso,AAL,v1,Trinity,0.6666666666666666,0.6590909090909091,0.65527950310559,0.6938775510204079,0.6538461538461539,0.7391304347826086,0.5714285714285714,0.8616138696670532,552.3526756763458,2.86722183227539,47.0,32258.0,44.0,run_20260620_073443
loso,AAL,v1,UCLA,0.7934472934472934,0.7466666666666667,0.7435897435897436,0.7710843373493976,0.7272727272727273,0.8205128205128205,0.6666666666666666,0.4023367762565613,305.9782130718231,3.1465435028076167,26.0,32258.0,75.0,run_20260620_073443
loso,AAL,v1,UM,0.7125,0.6371681415929203,0.6546474358974359,0.6306306306306305,0.7608695652173914,0.5384615384615384,0.7708333333333334,0.55601567029953,269.1679036617279,2.9952758181411614,23.0,32258.0,113.0,run_20260620_073443
loso,AAL,v1,USM,0.7711670480549199,0.6885245901639344,0.715675057208238,0.6666666666666667,0.5588235294117647,0.8260869565217391,0.6052631578947368,0.4033965170383453,269.1459345817566,3.6603974514320248,23.0,32258.0,61.0,run_20260620_073443
loso,AAL,v1,Yale,0.8041958041958042,0.75,0.7587412587412588,0.7391304347826088,0.85,0.6538461538461539,0.8636363636363636,0.9153357148170472,607.4792034626008,3.0179967482884726,51.0,32258.0,48.0,run_20260620_073443
